"month","year","day_type","entry_station","exit_station","avg_trips","date"
9,2013,"Weekday","EP","CL",86.6,2013-09-01
9,2013,"Weekday","EP","SL",31.45,2013-09-01
9,2013,"Weekday","EP","BF",19.95,2013-09-01
9,2013,"Weekday","EP","HY",30.95,2013-09-01
9,2013,"Weekday","EP","SH",11.9,2013-09-01
9,2013,"Weekday","EP","UC",16.45,2013-09-01
9,2013,"Weekday","EP","FM",48.7,2013-09-01
9,2013,"Weekday","EP","CN",31.85,2013-09-01
9,2013,"Weekday","EP","PH",15.55,2013-09-01
9,2013,"Weekday","EP","WC",31.4,2013-09-01
9,2013,"Weekday","EP","LF",12.9,2013-09-01
9,2013,"Weekday","EP","OR",10.5,2013-09-01
9,2013,"Weekday","EP","RR",42.8,2013-09-01
9,2013,"Weekday","EP","OW",18.7,2013-09-01
9,2013,"Weekday","EP","EM",654,2013-09-01
9,2013,"Weekday","EP","MT",638.1,2013-09-01
9,2013,"Weekday","EP","PL",304.6,2013-09-01
9,2013,"Weekday","EP","CC",335.3,2013-09-01
9,2013,"Weekday","EP","16",92.1,2013-09-01
9,2013,"Weekday","EP","24",55.1,2013-09-01
9,2013,"Weekday","EP","GP",28.55,2013-09-01
9,2013,"Weekday","EP","BP",47.7,2013-09-01
9,2013,"Weekday","EP","DC",78.1,2013-09-01
9,2013,"Weekday","EP","CM",6.7,2013-09-01
9,2013,"Weekday","EP","CV",4.75,2013-09-01
9,2013,"Weekday","EP","ED",20.3,2013-09-01
9,2013,"Weekday","EP","NC",6,2013-09-01
9,2013,"Weekday","EP","WP",15.15,2013-09-01
9,2013,"Weekday","EP","SS",10.95,2013-09-01
9,2013,"Weekday","EP","SB",10.2,2013-09-01
9,2013,"Weekday","EP","SO",67.1,2013-09-01
9,2013,"Weekday","EP","MB",27.8,2013-09-01
9,2013,"Weekday","EP","WD",10.7,2013-09-01
9,2013,"Weekday","NB","RM",136.4,2013-09-01
9,2013,"Weekday","NB","EN",139.15,2013-09-01
9,2013,"Weekday","NB","EP",73.45,2013-09-01
9,2013,"Weekday","NB","NB",13.6,2013-09-01
9,2013,"Weekday","NB","BK",233.1,2013-09-01
9,2013,"Weekday","NB","AS",80.5,2013-09-01
9,2013,"Weekday","NB","MA",107.5,2013-09-01
9,2013,"Weekday","NB","19",234.45,2013-09-01
9,2013,"Weekday","NB","12",281.9,2013-09-01
9,2013,"Weekday","NB","LM",80.25,2013-09-01
9,2013,"Weekday","NB","FV",88.65,2013-09-01
9,2013,"Weekday","NB","CL",100.4,2013-09-01
9,2013,"Weekday","NB","SL",30.05,2013-09-01
9,2013,"Weekday","NB","BF",31.3,2013-09-01
9,2013,"Weekday","NB","HY",33.9,2013-09-01
9,2013,"Weekday","NB","SH",12.6,2013-09-01
9,2013,"Weekday","NB","UC",20.75,2013-09-01
9,2013,"Weekday","NB","FM",34.25,2013-09-01
9,2013,"Weekday","NB","CN",24.05,2013-09-01
9,2013,"Weekday","NB","PH",15.95,2013-09-01
9,2013,"Weekday","NB","WC",34.35,2013-09-01
9,2013,"Weekday","NB","LF",11.45,2013-09-01
9,2013,"Weekday","NB","OR",11.75,2013-09-01
9,2013,"Weekday","NB","RR",29.9,2013-09-01
9,2013,"Weekday","NB","OW",19.7,2013-09-01
9,2013,"Weekday","NB","EM",817.25,2013-09-01
9,2013,"Weekday","NB","MT",677.6,2013-09-01
9,2013,"Weekday","NB","PL",393.6,2013-09-01
9,2013,"Weekday","NB","CC",379.1,2013-09-01
9,2013,"Weekday","NB","16",143.15,2013-09-01
9,2013,"Weekday","NB","24",93.5,2013-09-01
9,2013,"Weekday","NB","GP",42.1,2013-09-01
9,2013,"Weekday","NB","BP",45.85,2013-09-01
9,2013,"Weekday","NB","DC",59,2013-09-01
9,2013,"Weekday","NB","CM",8.2,2013-09-01
9,2013,"Weekday","NB","CV",9.85,2013-09-01
9,2013,"Weekday","NB","ED",22,2013-09-01
9,2013,"Weekday","NB","NC",8.25,2013-09-01
9,2013,"Weekday","NB","WP",15.4,2013-09-01
9,2013,"Weekday","NB","SS",9.45,2013-09-01
9,2013,"Weekday","NB","SB",11.15,2013-09-01
9,2013,"Weekday","NB","SO",96.85,2013-09-01
9,2013,"Weekday","NB","MB",38.25,2013-09-01
9,2013,"Weekday","NB","WD",6.8,2013-09-01
9,2013,"Weekday","BK","RM",485.9,2013-09-01
9,2013,"Weekday","BK","EN",1131.25,2013-09-01
9,2013,"Weekday","BK","EP",806.6,2013-09-01
9,2013,"Weekday","BK","NB",210.75,2013-09-01
9,2013,"Weekday","BK","BK",36.8,2013-09-01
9,2013,"Weekday","BK","AS",360.85,2013-09-01
9,2013,"Weekday","BK","MA",474.05,2013-09-01
9,2013,"Weekday","BK","19",546.25,2013-09-01
9,2013,"Weekday","BK","12",547.5,2013-09-01
9,2013,"Weekday","BK","LM",333.25,2013-09-01
9,2013,"Weekday","BK","FV",355.5,2013-09-01
9,2013,"Weekday","BK","CL",297.3,2013-09-01
9,2013,"Weekday","BK","SL",211.5,2013-09-01
9,2013,"Weekday","BK","BF",172.25,2013-09-01
9,2013,"Weekday","BK","HY",167.2,2013-09-01
9,2013,"Weekday","BK","SH",102.35,2013-09-01
9,2013,"Weekday","BK","UC",171.6,2013-09-01
9,2013,"Weekday","BK","FM",360.85,2013-09-01
9,2013,"Weekday","BK","CN",153.35,2013-09-01
9,2013,"Weekday","BK","PH",178.4,2013-09-01
9,2013,"Weekday","BK","WC",157.45,2013-09-01
9,2013,"Weekday","BK","LF",96.3,2013-09-01
9,2013,"Weekday","BK","OR",66.05,2013-09-01
